Timestamp,xAxis,yAxis,zAxis
1715609501.454614,352,390,309
1715609501.4561203,347,393,316
1715609501.4591382,336,396,329
1715609501.4591382,328,397,334
1715609501.460145,332,395,328
1715609501.4631436,344,391,314
1715609501.4631436,352,391,309
1715609501.4641445,347,393,314
1715609501.4641445,336,396,328
1715609501.4672158,327,397,333
1715609501.4672158,332,395,328
1715609501.468217,343,391,315
1715609501.468217,352,390,309
1715609501.471215,347,392,314
1715609501.4722164,337,396,328
1715609501.4722164,327,397,332
1715609501.4747293,331,395,328
1715609501.4762342,343,391,314
1715609501.4762342,351,390,310
1715609501.4762342,347,392,314
1715609501.4802413,336,396,328
1715609501.4802413,327,397,332
1715609501.4802413,331,395,328
1715609501.4802413,342,392,314
1715609501.4842398,352,391,309
1715609501.4842398,347,392,313
1715609501.4842398,337,396,327
1715609501.4842398,328,397,333
1715609501.488299,331,395,328
1715609501.488299,342,392,315
1715609501.488299,351,390,309
1715609501.4922981,347,392,312
1715609501.4922981,337,396,327
1715609501.4922981,328,397,332
1715609501.493296,331,395,329
1715609501.496298,342,392,315
1715609501.496298,351,390,309
1715609501.496298,348,391,313
1715609501.496298,338,395,327
1715609501.4995072,328,397,332
1715609501.5010126,331,396,329
1715609501.5010126,341,392,316
1715609501.5040193,351,390,310
1715609501.5040193,348,391,312
1715609501.5050185,338,395,327
1715609501.5050185,328,397,332
1715609501.5085332,330,395,330
1715609501.5085332,341,392,316
1715609501.5085332,352,390,308
1715609501.5095325,348,392,316
1715609501.512532,333,396,327
1715609501.512532,331,396,326
1715609501.512532,342,393,321
1715609501.5171368,342,391,318
1715609501.5171368,340,393,320
1715609501.5171368,339,395,321
1715609501.5171368,339,395,322
1715609501.521055,339,394,322
1715609501.521055,340,392,320
1715609501.521055,340,393,318
1715609501.521055,340,394,320
1715609501.525052,338,394,321
1715609501.525052,339,394,320
1715609501.525052,339,393,320
1715609501.525052,340,393,320
1715609501.5292513,340,393,320
1715609501.5292513,339,394,320
1715609501.5292513,339,394,320
1715609501.5335424,339,394,320
1715609501.5335424,339,393,320
1715609501.5335424,340,393,320
1715609501.5335424,340,393,320
1715609501.5365489,340,393,320
1715609501.5379071,340,394,321
1715609501.5379071,339,394,321
1715609501.5379071,339,394,320
1715609501.5416172,339,394,320
1715609501.5416172,340,394,320
1715609501.5416172,339,394,320
1715609501.5448625,339,395,320
1715609501.5448625,339,394,320
1715609501.546544,339,394,320
1715609501.546544,339,393,321
1715609501.5496566,341,394,321
1715609501.55041,340,394,321
1715609501.55041,340,394,321
1715609501.55041,340,394,320
1715609501.5534248,340,394,320
1715609501.554441,340,394,321
1715609501.554441,340,394,320
1715609501.554441,340,394,321
1715609501.5577633,340,394,321
1715609501.5577633,340,394,321
1715609501.5577633,339,394,320
1715609501.5622976,340,394,320
1715609501.5622976,340,394,321
1715609501.5622976,340,394,320
1715609501.5622976,340,394,320
1715609501.5663254,339,393,320
1715609501.5663254,340,393,321
1715609501.5663254,340,393,320
1715609501.5663254,339,393,320
1715609501.570541,339,393,320
1715609501.570541,339,393,320
1715609501.570541,339,393,320
1715609501.574403,339,393,320
1715609501.574403,339,393,320
1715609501.574403,340,394,321
1715609501.574403,340,394,320
1715609501.5784607,340,394,320
1715609501.5784607,339,394,320
1715609501.5784607,341,395,321
1715609501.5784607,339,393,320
1715609501.5834768,340,393,320
1715609501.5834768,339,394,321
1715609501.5834768,340,393,321
1715609501.5865822,340,394,321
1715609501.587488,339,393,320
1715609501.587488,339,394,320
1715609501.587488,339,393,320
1715609501.5907128,340,393,321
1715609501.5907128,340,393,321
1715609501.5907128,340,394,321
1715609501.5907128,340,393,320
1715609501.59511,340,393,320
1715609501.59511,340,394,320
1715609501.59511,340,394,320
1715609501.59511,339,394,320
1715609501.5984216,339,394,320
1715609501.5994294,339,394,321
1715609501.5994294,339,394,320
1715609501.6033483,340,395,321
1715609501.6033483,340,394,320
1715609501.6033483,340,394,320
1715609501.6033483,340,394,320
1715609501.6074123,340,394,321
1715609501.6074123,340,394,320
1715609501.6074123,340,394,320
1715609501.6074123,340,393,320
1715609501.6108506,340,393,321
1715609501.6108506,340,393,321
1715609501.6108506,340,393,320
1715609501.6148365,340,393,320
1715609501.6148365,340,393,320
1715609501.6148365,340,394,320
1715609501.6148365,340,394,321
1715609501.619654,340,394,320
1715609501.619654,340,394,321
1715609501.619654,340,394,321
1715609501.619654,340,394,321
1715609501.6236372,339,394,321
1715609501.6236372,339,394,320
1715609501.6236372,340,394,320
1715609501.627573,340,394,320
1715609501.627573,339,393,321
1715609501.627573,339,393,321
1715609501.627573,340,394,321
1715609501.631614,340,394,321
1715609501.631614,340,393,320
1715609501.631614,339,393,320
1715609501.631614,340,393,320
1715609501.6356227,339,393,320
1715609501.6356227,339,394,321
1715609501.6356227,340,394,321
1715609501.6356227,339,394,321
1715609501.639204,340,394,321
1715609501.6401997,340,394,320
1715609501.6401997,339,394,320
1715609501.6432025,340,393,321
1715609501.6442053,340,394,321
1715609501.6442053,340,393,321
1715609501.6442053,340,394,321
1715609501.6476827,339,394,321
1715609501.6476827,340,394,321
1715609501.6476827,339,394,321
1715609501.6487143,339,393,320
1715609501.6517217,339,393,320
1715609501.6517217,340,393,321
1715609501.6517217,340,394,321
1715609501.6563923,340,393,320
1715609501.6563923,339,393,320
1715609501.6563923,340,394,320
1715609501.6563923,339,394,320
1715609501.660313,339,393,321
1715609501.660313,339,394,320
1715609501.661276,339,394,320
1715609501.661276,339,394,320
1715609501.6642733,339,394,320
1715609501.6642733,339,394,320
1715609501.6642733,340,394,320
1715609501.6642733,339,394,321
1715609501.6687915,340,394,320
1715609501.6687915,339,394,320
1715609501.6687915,340,394,321
1715609501.6727915,340,393,321
1715609501.6727915,339,393,321
1715609501.6727915,340,393,321
1715609501.6727915,340,394,321
1715609501.676812,339,393,320
1715609501.676812,340,394,321
1715609501.676812,340,394,321
1715609501.676812,339,394,321
1715609501.6811774,339,394,320
1715609501.6811774,339,394,320
1715609501.6811774,339,394,320
1715609501.6852705,339,393,320
1715609501.6852705,339,393,320
1715609501.6852705,339,393,320
1715609501.6852705,340,394,320
1715609501.6894279,340,394,320
1715609501.6894279,340,393,320
1715609501.6894279,340,394,320
